2/28/2022,Spotify USA,Music Accounts,-9.99,E,Credit
3/1/2022,Amazon.com,Miscellaneous,-43.45,E,Credit
3/2/2022,Geico,Car Insurance,-88.46,E,Checking
3/4/2022,RICHDALE DAIRY,Food,-16.75,E,Credit
3/5/2022,PETRONES PIZZA,Take-Out,-26.71,E,Credit
3/5/2022,SHAWS,Food,-49.65,E,Credit
3/6/2022,SHAWS,Food,-32.84,E,Credit
3/6/2022,Amazon.com,Miscellaneous,-250,E,Credit
3/8/2022,GOVERNMENT CENTER,Parking,-19,E,Credit
3/10/2022,Atm Withdrawal,Miscellaneous,-40,E,Checking
3/10/2022,Amazon.com,Miscellaneous,-135.55,E,Credit
3/11/2022,Liaison International,Work Income,1039.8,I,Checking
3/11/2022,BOB MARKET,Food,-8.46,E,Credit
3/11/2022,SHAWS,Food,-7.49,E,Credit
3/11/2022,PANDORA,Music Accounts,-9.99,E,Credit
3/12/2022,RICHDALE DAIRY,Food,-8.48,E,Credit
3/12/2022,DICK'S SPORTING GOODS,Miscellaneous,-119.96,E,Credit
3/12/2022,STOP & SHOP,Food,-88.04,E,Credit
3/13/2022,LIBERTY BELL ROAST BEEF,Take-Out,-18.46,E,Credit
3/13/2022,BOB MARKET,Food,-6,E,Credit
3/14/2022,Champlain College,School Tuition,-414.5,E,Checking
3/14/2022,Anytime Fitness,Gym,-39,E,Checking
3/14/2022,Tax Returns,Other Income,817,I,Checking
3/15/2022,STOP & SHOP,Food,-21.09,E,Credit
3/15/2022,Dental Provider,Dental Care,-1000,E,Credit
3/16/2022,RICHDALE DAIRY,Food,-14.16,E,Credit
3/17/2022,BOB MARKET,Food,-8.46,E,Credit
3/19/2022,RICHDALE DAIRY,Food,-5.98,E,Credit
3/19/2022,SHAWS,Food,-64.15,E,Credit
3/20/2022,LIBERTY BELL ROAST BEEF,Take-Out,-18.46,E,Credit
3/20/2022,BOB MARKET,Food,-15.5,E,Credit
3/22/2022,Healthcare Provider,Health Care,-72.8,E,Credit
3/23/2022,SHAWS,Food,-11.68,E,Credit
3/25/2022,Liaison International,Work Income,1039.79,I,Checking
3/25/2022,RICHDALE DAIRY,Food,-5.98,E,Credit
3/25/2022,BOB MARKET,Food,-5.97,E,Credit
3/25/2022,SHAWS,Food,-24.98,E,Credit
3/26/2022,SHAWS,Food,-22.37,E,Credit
3/26/2022,RICHDALE DAIRY,Food,-5.98,E,Credit
3/26/2022,STOP & SHOP,Food,-59.16,E,Credit
3/26/2022,SUPER PETRO STONEHAM,Gas,-42.69,E,Credit
3/26/2022,PANDA CASTLE,Take-Out,-36.78,E,Credit
3/27/2022,BOB MARKET,Food,-6,E,Credit
3/28/2022,Spotify USA,Music Accounts,-9.99,E,Credit
3/29/2022,Dental Provider,Dental Care,-130,E,Credit
3/30/2022,Champlain College,School Tuition,-35,E,Checking
4/1/2022,Anytime Fitness,Gym,-12.5,E,Checking
4/1/2022,SHAWS,Food,-21.76,E,Credit
4/2/2022,SHAWS,Food,-37.18,E,Credit
4/2/2022,WHOLEFDS,Food,-56.9,E,Credit
4/3/2022,BOB MARKET,Food,-20,E,Credit
4/3/2022,MELROSE HOUSE OF PIZZA,Take-Out,-20.45,E,Credit
4/4/2022,Geico,Car Insurance,-88.5,E,Checking
4/5/2022,GOVERNMENT CENTER,Parking,-27,E,Credit
4/7/2022,Amazon.com,Miscellaneous,-250,E,Credit
4/8/2022,Liaison International,Work Income,1039.79,I,Checking
4/8/2022,RICHDALE DAIRY,Food,-24.13,E,Credit
4/9/2022,BOB MARKET,Food,-10.95,E,Credit
4/9/2022,NUTS.COM ,Food,-60.95,E,Credit
4/9/2022,STOP & SHOP,Food,-60,E,Credit
4/10/2022,RICHDALE DAIRY,Food,-12.97,E,Credit
4/10/2022,PETRONES PIZZA,Take-Out,-26.71,E,Credit
4/11/2022,PANDORA,Music Accounts,-9.99,E,Credit
4/12/2022,Champlain College,School Tuition,-477,E,Checking
4/12/2022,Anytime Fitness,Gym,-39,E,Checking
4/14/2022,BOB MARKET,Food,-14.43,E,Credit
4/14/2022,LIBERTY BELL ROAST BEEF,Take-Out,-18.46,E,Credit
4/14/2022,LIBERTY BELL ROAST BEEF,Take-Out,-18.46,E,Credit
4/15/2022,RICHDALE DAIRY,Food,-4.99,E,Credit
4/15/2022,STOP & SHOP,Food,-78,E,Credit
4/15/2022,WALGREENS,Miscellaneous,-48.96,E,Credit
4/15/2022,BOB MARKET,Food,-10.45,E,Credit
4/16/2022,Dental Provider,Dental Care,-206,E,Credit
4/17/2022,RICHDALE DAIRY,Food,-8.48,E,Credit
4/19/2022,Atm Withdrawal,Miscellaneous,-60,E,Checking
4/21/2022,BOB MARKET,Food,-17.44,E,Credit
4/22/2022,Liaison International,Work Income,1039.79,I,Checking
4/23/2022,SHAWS,Food,-40.27,E,Credit
4/23/2022,PANDA CASTLE,Take-Out,-43.52,E,Credit
4/24/2022,RICHDALE DAIRY,Food,-22.53,E,Credit
4/27/2022,Healthcare Provider,Health Care,-72.8,E,Checking
4/28/2022,BOB MARKET,Food,-2.97,E,Credit
4/28/2022,BOB MARKET,Food,-27.41,E,Credit
4/28/2022,Spotify USA,Music Accounts,-9.99,E,Credit
4/29/2022,KEURIG GREEN MOUNTAIN,Food,-41.59,E,Credit
4/30/2022,STOP & SHOP,Food,-99.36,E,Credit
4/30/2022,MELROSE HOUSE OF PIZZA,Take-Out,-23.22,E,Credit
5/1/2022,Champlain College,School Tuition,-59.99,E,Credit
5/1/2022,WALGREENS,Miscellaneous,-29.69,E,Credit
5/1/2022,GNC,Miscellaneous,-116.85,E,Credit
5/2/2022,Geico,Car Insurance,-88.5,E,Checking
5/3/2022,GOVERNMENT CENTER,Parking,-27,E,Credit
5/5/2022,WALGREENS,Miscellaneous,-34.64,E,Credit
5/6/2022,Liaison International,Work Income,1039.78,I,Checking
5/6/2022,PETRONES PIZZA,Take-Out,-27.36,E,Credit
5/7/2022,STOP & SHOP,Food,-106,E,Credit
5/8/2022,BOB MARKET,Food,-12.94,E,Credit
5/8/2022,GNC,Miscellaneous,-180.61,E,Credit
5/8/2022,Amazon.com,Miscellaneous,-250,E,Credit
5/9/2022,TMOBILE,Cell Phone,-10.63,E,Credit
5/11/2022,PANDORA,Music Accounts,-9.99,E,Credit
5/12/2022,Champlain College,School Tuition,-477,E,Checking
5/12/2022,Anytime Fitness,Gym,-39,E,Checking
5/13/2022,RICHDALE DAIRY,Food,-18.64,E,Credit
5/14/2022,SHAWS,Food,-78.44,E,Credit
5/14/2022,LIBERTY BELL ROAST BEEF,Take-Out,-29.8,E,Credit
5/14/2022,Champlain College,School Tuition,-63.99,E,Credit
5/16/2022,Atm Withdrawal,Miscellaneous,-60,E,Checking
5/16/2022,Dental Provider,Dental Care,-206,E,Credit
5/20/2022,Liaison International,Work Income,977.52,I,Checking
5/20/2022,BOB MARKET,Food,-17.44,E,Credit
5/21/2022,STOP & SHOP,Food,-108.49,E,Credit
5/23/2022,Atm Withdrawal,Miscellaneous,-60,E,Checking
